,round_number,firm_id,wage,bid_number,time_offered,number_of_offers,worker_id,effort,transaction_number,offer_placement,highest_offer_accepted_boolean,worker_surplus,firm_surplus,time_accepted,time_to_accept,time_to_effort,session,treatment,const,worker_identification,firm_identification,total_surplus,worker_surplus_share
0,2,1,55,5,13.900467157363892,1,6,0.4,2,1,1,23,35.5,15.880637884140016,1.980170726776123,7.932762861251831,1,0,1,1_60,1_10,58.5,0.39316239316239315
1,2,2,30,1,4.6288838386535645,1,9,0.6,4,1,1,-6,67.19999999999999,22.669870615005493,18.04098677635193,12.298325538635254,1,0,1,1_90,1_20,61.19999999999999,-0.09803921568627452
2,2,3,45,3,5.855883598327637,1,10,0.5,1,1,1,11,48.6,9.632252931594849,3.776369333267212,15.69902491569519,1,0,1,1_100,1_30,59.6,0.18456375838926173
3,2,4,50,4,10.05702257156372,2,5,0.30000000000000004,3,1,1,20,30.4,17.6164288520813,7.559406280517578,15.9150071144104,1,0,1,1_50,1_40,50.4,0.39682539682539686
4,3,2,45,3,8.509289264678955,1,5,0.6,2,1,1,9,56.7,8.965785264968872,0.456496000289917,3.037996768951416,1,0,1,1_50,1_20,65.7,0.136986301369863
5,3,1,40,4,9.68430995941162,1,8,0.30000000000000004,3,1,1,10,34.4,11.98660135269165,2.3022913932800293,4.72279691696167,1,0,1,1_80,1_10,44.4,0.22522522522522523
6,3,4,40,2,5.061334609985352,1,10,0.1,1,1,1,13,17.2,8.428889989852905,3.3675553798675537,4.801957368850708,1,0,1,1_100,1_40,30.2,0.43046357615894043
7,3,3,30,1,4.391347408294678,1,9,0.1,4,1,1,3,19.200000000000003,16.81260371208191,12.421256303787231,10.899012804031372,1,0,1,1_90,1_30,22.200000000000003,0.13513513513513511
8,4,2,35,4,10.213864803314207,1,6,0.30000000000000004,4,1,1,5,36.4,10.413749933242798,0.1998851299285888,3.612456798553467,1,0,1,1_60,1_20,41.4,0.12077294685990339
9,4,4,60,2,3.736782550811768,1,8,0.30000000000000004,2,1,1,30,26.4,6.074285745620728,2.33750319480896,3.8200604915618896,1,0,1,1_80,1_40,56.4,0.5319148936170213
10,4,1,30,3,6.731934070587158,1,5,0.0,3,1,1,4,9.6,6.676053762435913,-0.0558803081512451,5.36929178237915,1,0,1,1_50,1_10,13.6,0.29411764705882354
11,4,3,55,1,2.410179376602173,1,7,0.0,1,2,0,29,7.1000000000000005,3.960780382156372,1.5506010055541992,12.132253885269163,1,0,1,1_70,1_30,36.1,0.8033240997229917
12,5,3,40,1,2.756753921508789,1,6,0.1,1,2,0,13,17.2,3.20755672454834,0.4508028030395508,2.827463388442993,1,0,1,1_60,1_30,30.2,0.43046357615894043
13,5,2,50,2,3.079305410385132,1,5,0.30000000000000004,2,1,1,20,30.4,3.278806686401367,0.1995012760162353,4.592672109603882,1,0,1,1_50,1_20,50.4,0.39682539682539686
14,5,1,40,4,8.39721155166626,1,9,0.4,4,1,1,8,43.0,8.699084043502808,0.3018724918365478,5.468282461166382,1,0,1,1_90,1_10,51.0,0.1568627450980392
15,5,4,30,3,5.587942600250244,1,7,0.0,3,1,1,4,9.6,7.174197673797607,1.5862550735473633,10.01409077644348,1,0,1,1_70,1_40,13.6,0.29411764705882354
16,6,2,30,1,1.82769513130188,1,6,0.0,1,1,1,4,9.6,2.2807133197784424,0.4530181884765625,2.41809630393982,1,0,1,1_60,1_20,13.6,0.29411764705882354
17,6,4,50,3,3.4366934299468994,1,8,0.30000000000000004,3,1,1,20,30.4,4.32711124420166,0.8904178142547607,3.6005349159240723,1,0,1,1_80,1_40,50.4,0.39682539682539686
18,6,3,30,4,8.13917064666748,1,9,0.0,4,1,1,4,9.6,8.48284101486206,0.3436703681945801,4.344185829162598,1,0,1,1_90,1_30,13.6,0.29411764705882354
19,6,1,40,2,3.2492377758026123,1,7,0.19999999999999998,2,2,0,12,25.8,3.499178886413574,0.2499411106109619,6.140333652496338,1,0,1,1_70,1_10,37.8,0.3174603174603175
20,7,2,40,1,2.466939210891724,1,10,0.0,1,1,1,14,8.6,10.170424938201904,7.703485727310181,3.843301057815552,1,0,1,1_100,1_20,22.6,0.6194690265486725
21,7,3,35,4,27.78360366821289,1,7,0.30000000000000004,4,1,1,5,36.4,28.04474687576294,0.2611432075500488,5.561648368835449,1,0,1,1_70,1_30,41.4,0.12077294685990339
22,7,1,40,3,17.869123220443726,1,5,0.30000000000000004,3,1,1,10,34.4,18.04065203666687,0.1715288162231445,6.655141115188599,1,0,1,1_50,1_10,44.4,0.22522522522522523
23,7,4,55,2,15.65299916267395,1,6,0.4,2,1,1,23,35.5,15.98589277267456,0.3328936100006103,8.920360803604126,1,0,1,1_60,1_40,58.5,0.39316239316239315
24,8,3,40,3,19.7824022769928,1,8,0.30000000000000004,3,1,1,10,34.4,19.955371618270878,0.1729693412780761,3.1716318130493164,1,0,1,1_80,1_30,44.4,0.22522522522522523
25,8,1,45,4,55.45137810707092,1,7,0.0,4,1,1,19,8.1,55.85472679138184,0.4033486843109131,3.4528145790100098,1,0,1,1_70,1_10,27.1,0.7011070110701106
26,8,2,55,1,7.151228189468384,1,10,0.19999999999999998,1,1,1,27,21.3,8.607443571090698,1.4562153816223145,6.359669208526611,1,0,1,1_100,1_20,48.3,0.5590062111801243
