participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.IRB,player.type,player.Q1,player.Q2,player.Q3,player.Q4,player.money_after_wage,player.firms_offer_accepted,player.worker_has_accepted_offer,player.wage_paid,player.transaction_number,player.wage,player.firms_worker_id,player.bid_number,player.number_of_offers_in_round,player.previous_wage,player.previous_bid_number,player.worker_selected_effort,player.worker_effort_level,player.firm_effort_level,player.effort_cost,player.ECU_payoff,player.ECU_payoff_total,player.accepted_highest_offer,player.bid_placement_of_accepted_offer,player.time_offered,player.time_bought,player.time_to_bought,player.time_to_effort,player.effort_start_time,player.auction_start_time,player.Instructions_Page_Number,player.wrong_string,player.previous_answers,player.worker_has_selected_effort,player.USD_payoff,player.USD_payoff_with_showup,player.First_Name,player.Last_Name,player.has_given_info,player.round_1_payoff,player.round_2_payoff,player.round_3_payoff,player.round_4_payoff,player.round_5_payoff,player.round_6_payoff,player.round_7_payoff,player.round_8_payoff,player.round_9_payoff,player.round_10_payoff,player.round_11_payoff,player.round_12_payoff,group.id_in_subsession,group.bid_number,group.transaction_number,group.highest_bid,group.wage_temp,group.bid_2,group.bid_3,group.bid_4,group.bid_5,group.bid_6,group.group_round_number,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,6u6ha5dk,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:26.6,1,,,146,1,Worker,0,1,0,0,8,20,40,,1,0,0,2,65,8,4,1,,-185,0,0,0,0,,0,0,,27.754608392715454,30.74057912826538,2.9859707355499268,,1730138331.306692,1730138271.1671262,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,zo11bd3s,,,,,0
2,d0wt6xob,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:26.6,1,,,115,2,Firm,0,1,0,0,8,20,40,,1,0,0,1,60,10,3,1,,-185,0,0,0,0,,0,0,,15.64220118522644,18.771883249282837,3.1296820640563965,,1730138331.3378797,1730138271.1874225,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,zo11bd3s,,,,,0
3,z570mrku,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:26.7,1,,,112,3,,0,1,0,0,8,20,40,,1,0,0,3,60,6,5,2,,1,0,0,0,0,,0,0,,34.55728244781494,39.51592278,4.9586403369903564,,1730138331.414462,1730138271.2537744,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,zo11bd3s,,,,,0
4,9ebyvo7u,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:26.7,1,,,108,4,,0,1,0,0,8,20,40,,1,0,0,4,55,7,2,1,,-185,0,0,0,0,,0,0,,14.318427562713623,45.56408238,31.245654821395874,,1730138331.4579017,1730138271.2837276,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,zo11bd3s,,,,,0
5,pb6uqh52,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:26.7,1,,,16,5,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0,0,0,,0,0,,,,,,1730138331.4717557,1730138271.3092635,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,zo11bd3s,,,,,0
6,6u587x6y,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:26.7,1,,,87,6,,0,1,1,0,8,20,40,,0,1,60,3,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1730138331.5024414,1730138271.3252594,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,zo11bd3s,,,,,0
7,kv3cihb7,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:26.7,1,,,101,7,,0,1,1,0,8,20,40,,0,1,55,4,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1730138331.5532763,1730138271.3537898,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,zo11bd3s,,,,,0
8,gtm3nn96,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:26.7,1,,,127,8,,0,1,1,0,8,20,40,,0,1,65,2,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1730138331.6220212,1730138271.4460094,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,zo11bd3s,,,,,0
9,reknu6ba,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:26.7,1,,,121,9,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0,0,0,,0,0,,,,,,1730138331.5659902,1730138271.3664613,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,zo11bd3s,,,,,0
10,gcjjrgxt,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:26.7,1,,,156,10,,0,1,1,0,8,20,40,,0,1,60,1,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1730138331.6095235,1730138271.4323459,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,zo11bd3s,,,,,0
