participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.IRB,player.type,player.Q1,player.Q2,player.Q3,player.Q4,player.money_after_wage,player.firms_offer_accepted,player.worker_has_accepted_offer,player.wage_paid,player.transaction_number,player.wage,player.firms_worker_id,player.bid_number,player.number_of_offers_in_round,player.previous_wage,player.previous_bid_number,player.worker_selected_effort,player.worker_effort_level,player.firm_effort_level,player.effort_cost,player.ECU_payoff,player.ECU_payoff_total,player.accepted_highest_offer,player.bid_placement_of_accepted_offer,player.time_offered,player.time_bought,player.time_to_bought,player.time_to_effort,player.effort_start_time,player.auction_start_time,player.Instructions_Page_Number,player.wrong_string,player.previous_answers,player.worker_has_selected_effort,player.USD_payoff,player.USD_payoff_with_showup,player.First_Name,player.Last_Name,player.has_given_info,player.round_1_payoff,player.round_2_payoff,player.round_3_payoff,player.round_4_payoff,player.round_5_payoff,player.round_6_payoff,player.round_7_payoff,player.round_8_payoff,player.round_9_payoff,player.round_10_payoff,player.round_11_payoff,player.round_12_payoff,group.id_in_subsession,group.bid_number,group.transaction_number,group.highest_bid,group.wage_temp,group.bid_2,group.bid_3,group.bid_4,group.bid_5,group.bid_6,group.group_round_number,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,8x3my9ac,,0,169,169,Gift_Exchange_Baseline,Experiment_End,33:15.9,1,,,361,1,Worker,0,1,0,0,8,20,40,,1,0,0,4,60,7,4,1,,-185,0,0.1,0.1,0,,0,0,,35.72281193733215,35.95522165298462,0.23240971565246582,,,1738091132.3371444,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,0,1,fto3yb62,,,,,0
2,5pg816ge,,0,169,169,Gift_Exchange_Baseline,Experiment_End,33:39.7,1,,,306,2,Firm,0,1,0,0,8,20,40,,1,0,0,3,55,8,2,1,,-185,0,0.1,0.1,0,,0,0,,12.343140840530396,26.164754152297974,13.821613311767578,,,1738091132.4472473,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,0,1,fto3yb62,,,,,0
3,ns08f40o,,0,169,169,Gift_Exchange_Baseline,Experiment_End,34:07.4,1,,,340,3,,0,1,0,0,8,20,40,,1,0,0,1,50,9,1,1,,-185,0,0.1,0.1,0,,0,0,,6.819035291671753,22.55775547027588,15.738720178604126,,,1738091132.463082,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,0,1,fto3yb62,,,,,0
4,r6lpfs53,,0,169,169,Gift_Exchange_Baseline,Experiment_End,34:27.6,1,,,247,4,,0,1,0,0,8,20,40,,1,0,0,2,60,6,3,1,,-185,0,0.1,0.1,0,,0,0,,18.79065967,23.341023206710815,4.550363540649414,,,1738091132.4946623,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,0,1,fto3yb62,,,,,0
5,p47kmh2o,,0,169,169,Gift_Exchange_Baseline,Experiment_End,34:43.5,1,,,153,5,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0.1,0,0,,0,0,,,,,,1738091096.7547667,1738091132.5263922,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,0,1,fto3yb62,,,,,0
6,wr7z9087,,0,169,169,Gift_Exchange_Baseline,Experiment_End,34:45.3,1,,,213,6,,0,1,1,0,8,20,40,,0,1,60,2,-1,0,-185,0,,,0,0.1,0,0,,0,1,1,,,,,1738091096.7547667,1738091132.5828657,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,0,1,fto3yb62,,,,,0
7,9mkda4ka,,0,169,169,Gift_Exchange_Baseline,Experiment_End,34:55.5,1,,,201,7,,0,1,1,0,8,20,40,,0,1,60,4,-1,0,-185,0,,,0,0.1,0,0,,0,1,1,,,,,1738091096.7547667,1738091132.6376026,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,0,1,fto3yb62,,,,,0
8,mchutzcc,,0,169,169,Gift_Exchange_Baseline,Experiment_End,34:58.3,1,,,90,8,,0,1,1,0,8,20,40,,0,1,55,3,-1,0,-185,0,,,0,0.1,0,0,,0,1,1,,,,,1738091096.7547667,1738091132.650198,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,0,1,fto3yb62,,,,,0
9,nferclyr,,0,169,169,Gift_Exchange_Baseline,Experiment_End,35:14.7,1,,,105,9,,0,1,1,0,8,20,40,,0,1,50,1,-1,0,-185,0,,,0,0.1,0,0,,0,0,3,,,,,1738091096.7547667,1738091132.6663938,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,0,1,fto3yb62,,,,,0
10,7so89ymo,,0,169,169,Gift_Exchange_Baseline,Experiment_End,35:17.2,1,,,124,10,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0.1,0,0,,0,0,,,,,,1738091096.7547667,1738091132.7141697,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,0,1,fto3yb62,,,,,0
