participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.IRB,player.type,player.Q1,player.Q2,player.Q3,player.Q4,player.money_after_wage,player.firms_offer_accepted,player.worker_has_accepted_offer,player.wage_paid,player.transaction_number,player.wage,player.firms_worker_id,player.bid_number,player.number_of_offers_in_round,player.previous_wage,player.previous_bid_number,player.worker_selected_effort,player.worker_effort_level,player.firm_effort_level,player.effort_cost,player.ECU_payoff,player.ECU_payoff_total,player.accepted_highest_offer,player.bid_placement_of_accepted_offer,player.time_offered,player.time_bought,player.time_to_bought,player.time_to_effort,player.effort_start_time,player.auction_start_time,player.Instructions_Page_Number,player.wrong_string,player.previous_answers,player.worker_has_selected_effort,player.USD_payoff,player.USD_payoff_with_showup,player.First_Name,player.Last_Name,player.has_given_info,player.round_1_payoff,player.round_2_payoff,player.round_3_payoff,player.round_4_payoff,player.round_5_payoff,player.round_6_payoff,player.round_7_payoff,player.round_8_payoff,player.round_9_payoff,player.round_10_payoff,player.round_11_payoff,player.round_12_payoff,group.id_in_subsession,group.bid_number,group.transaction_number,group.highest_bid,group.wage_temp,group.bid_2,group.bid_3,group.bid_4,group.bid_5,group.bid_6,group.group_round_number,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,js0cgxek,,0,156,156,Gift_Exchange_Baseline,Experiment_End,27:28.6,1,,,218,1,Worker,0,1,0,0,8,20,40,,1,0,0,2,65,9,4,1,,-185,0,0,0,0,,0,0,,17.868673086166382,24.65666913986206,6.787996053695679,,1730746817.5111818,1730746757.3950484,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,uu1uo738,,,,,0
2,zp9wnugx,,0,156,156,Gift_Exchange_Baseline,Experiment_End,27:28.8,1,,,189,2,Firm,0,1,0,0,8,20,40,,1,0,0,3,60,8,3,1,,-185,0,0,0,0,,0,0,,13.047712802886963,27.46214485168457,14.414432048797607,,1730746817.6361403,1730746757.4763992,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,uu1uo738,,,,,0
3,glshh3kt,,0,156,156,Gift_Exchange_Baseline,Experiment_End,27:28.8,1,,,200,3,,0,1,0,0,8,20,40,,1,0,0,4,55,10,2,1,,-185,0,0,0,0,,0,0,,11.636297225952148,31.128578424453735,19.492281198501587,,1730746817.6497586,1730746757.4891715,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,uu1uo738,,,,,0
4,2gfzgvur,,0,156,156,Gift_Exchange_Baseline,Experiment_End,27:28.8,1,,,255,4,,0,1,0,0,8,20,40,,1,0,0,1,70,5,5,2,,1,0,0,0,0,,0,0,,18.508678674697876,21.887516498565674,3.378837823867798,,1730746817.6961062,1730746757.504866,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,uu1uo738,,,,,0
5,reex4bml,,0,156,156,Gift_Exchange_Baseline,Experiment_End,27:28.8,1,,,215,5,,0,1,1,0,8,20,40,,0,1,70,1,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1730746817.7083745,1730746757.5162606,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,uu1uo738,,,,,0
6,qqupijg1,,0,156,156,Gift_Exchange_Baseline,Experiment_End,27:28.8,1,,,123,6,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0,0,0,,0,0,,,,,,1730746817.7574933,1730746757.5289311,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,uu1uo738,,,,,0
7,csxweuix,,0,156,156,Gift_Exchange_Baseline,Experiment_End,27:28.9,1,,,363,7,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0,0,0,,0,0,,,,,,1730746817.7728243,1730746757.5621376,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,uu1uo738,,,,,0
8,inmp9b03,,0,156,156,Gift_Exchange_Baseline,Experiment_End,27:28.9,1,,,233,8,,0,1,1,0,8,20,40,,0,1,60,3,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1730746817.8691676,1730746757.721612,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,uu1uo738,,,,,0
9,8i29hmgk,,0,156,156,Gift_Exchange_Baseline,Experiment_End,27:28.9,1,,,301,9,,0,1,1,0,8,20,40,,0,1,65,2,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1730746818,1730746757.590185,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,uu1uo738,,,,,0
10,mf8ma437,,0,156,156,Gift_Exchange_Baseline,Experiment_End,29:28.3,1,,,263,10,,0,1,1,0,8,20,40,,0,1,55,4,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1730746817.7970164,1730746757.616837,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,,0,0,0,0,0,0,1,uu1uo738,,,,,0
