round_number,firm_id,wage,bid_number,time_offered,number_of_offers
1,1,40,1,13.927096605300903,1
1,3,50,2,16.4358971118927,1
1,2,55,3,25.098862648010254,1
1,4,20,4,39.80938386917114,1
1,4,55,5,55.04080581665039,2
2,2,30,1,3.620443105697632,1
2,1,40,2,5.644820213317871,1
2,3,45,3,10.470752477645874,1
2,4,45,4,17.356231927871704,1
2,1,45,5,21.300593376159668,2
3,3,35,1,3.365149736404419,1
3,1,40,2,6.2233922481536865,1
3,3,45,3,11.933135032653809,2
3,2,50,4,23.585615634918213,1
3,4,50,5,27.893290996551514,1
4,3,35,1,3.0029044151306152,1
4,1,60,2,2.8621063232421875,1
4,3,40,3,13.319730281829834,2
4,4,40,4,20.999324083328247,1
4,2,25,5,26.11279320716858,1
5,3,25,1,5.955771207809448,1
5,1,65,2,6.922991991043091,1
5,2,60,3,27.135298013687134,1
5,3,30,4,30.08739447593689,2
5,4,25,5,38.96569800376892,1
6,1,65,1,6.438356399536133,1
6,3,20,2,8.525070190429688,1
6,4,25,3,58.02259039878845,1
6,2,80,4,64.93060946464539,1
7,1,25,1,4.243390321731567,1
7,3,90,2,5.893136024475098,1
7,4,20,3,13.615813255310059,1
7,2,70,4,20.80826449394226,1
8,4,45,1,2.2340052127838135,1
8,2,25,2,3.5347073078155518,1
8,3,80,3,3.7290003299713135,1
8,1,60,4,14.318702697753906,1
9,1,5,1,2.1869828701019287,1
9,4,5,2,7.170204162597656,1
9,2,10,3,15.325311422348022,1
9,3,20,4,26.307907819747925,1
9,4,10,5,58.897225856781006,2
10,3,5,1,2.3117291927337646,1
10,4,20,2,2.217524290084839,1
10,1,30,3,8.903902530670166,1
10,2,50,4,22.175689935684204,1
10,1,35,5,29.519711017608643,2
10,4,25,6,43.85642409324646,2
10,4,35,7,59.07461595535278,3
10,3,10,8,82.41564655303955,2
11,2,100,1,3.1398839950561523,1
11,3,20,2,6.248936176300049,1
11,1,25,3,13.419958591461182,1
11,3,30,4,22.7775297164917,2
11,1,35,5,24.32404088973999,2
11,3,35,6,46.32978701591492,3
11,4,35,7,56.668489933013916,1
11,4,40,8,70.99732303619385,2
12,2,20,1,3.249793529510498,1
12,3,20,2,4.78068208694458,1
12,1,50,3,6.42091965675354,1
12,4,25,4,37.44596219062805,1
12,3,30,5,54.2392795085907,2
12,4,35,6,58.800981760025024,2
13,3,20,1,3.3434767723083496,1
13,1,25,2,7.780163288116455,1
13,4,30,3,16.85471820831299,1
13,1,35,4,24.71415615081787,2
13,3,25,5,51.66111946105957,2
13,2,55,6,65.66265296936035,1
13,3,35,7,70.93982553482056,3
round_number,firm_id,wage,bid_number,time_offered,number_of_offers,worker_id,effort,transaction_number,offer_placement,highest_offer_accepted_boolean,worker_surplus,firm_surplus,time_accepted,time_to_accept,time_to_effort
2,2,30,1,3.620443105697632,1,8,0.1,1,2,0,4.0,9.600000000000001,6.913065671920776,3.2926225662231445,5.626039266586304
2,4,45,4,17.356231927871704,1,5,0.8,3,1,1,7.0,64.8,19.719940900802612,2.363708972930908,6.152223587036133
