participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.IRB,player.type,player.Q1,player.Q2,player.Q3,player.Q4,player.money_after_wage,player.firms_offer_accepted,player.worker_has_accepted_offer,player.wage_paid,player.transaction_number,player.wage,player.firms_worker_id,player.bid_number,player.number_of_offers_in_round,player.previous_wage,player.previous_bid_number,player.worker_selected_effort,player.worker_effort_level,player.firm_effort_level,player.effort_cost,player.ECU_payoff,player.ECU_payoff_total,player.accepted_highest_offer,player.bid_placement_of_accepted_offer,player.time_offered,player.time_bought,player.time_to_bought,player.time_to_effort,player.effort_start_time,player.auction_start_time,player.Instructions_Page_Number,player.wrong_string,player.previous_answers,player.worker_has_selected_effort,player.USD_payoff,player.USD_payoff_with_showup,player.First_Name,player.Last_Name,player.has_given_info,player.round_1_payoff,player.round_2_payoff,player.round_3_payoff,player.round_4_payoff,player.round_5_payoff,player.round_6_payoff,player.round_7_payoff,player.round_8_payoff,player.round_9_payoff,player.round_10_payoff,player.round_11_payoff,player.round_12_payoff,group.id_in_subsession,group.bid_number,group.transaction_number,group.highest_bid,group.wage_temp,group.bid_2,group.bid_3,group.bid_4,group.bid_5,group.bid_6,group.group_round_number,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,obefcnk6,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:24.7,1,,,144,1,Worker,0,1,0,0,8,20,40,,0,0,0,0,20,0,5,1,,-185,0,0,0,0,,0,0,,38.65818905830383,,,,1728929008.3455777,1728928948.190517,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,,0,0,0,0,0,0,1,dvuvzni1,,,,,0
2,yfpe4s9o,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:24.9,1,,,162,2,Firm,0,1,0,0,8,20,40,,1,0,0,2,65,9,3,1,,-185,0,0,0,0,,0,0,,19.466959714889526,22.343377590179443,2.876417875289917,,1728929008.4501286,1728928948,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,,0,0,0,0,0,0,1,dvuvzni1,,,,,0
3,p2i0te8s,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:30.5,1,,,111,3,,0,1,0,0,8,20,40,,1,0,0,1,60,6,2,1,,-185,0,0,0,0,,0,0,,16.054518938064575,18.428377628326416,2.373858690261841,,1728929008.462366,1728928948.302517,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,,0,0,0,0,0,0,1,dvuvzni1,,,,,0
4,ptdm2wmq,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:30.5,1,,,368,4,,0,1,0,0,8,20,40,,1,0,0,3,65,7,4,2,,1,0,0,0,0,,0,0,,29.064686059951782,29.644696712493896,0.5800106525421143,,1728929008.506002,1728928948.2796397,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,,0,0,0,0,0,0,1,dvuvzni1,,,,,0
5,kmb4wvf8,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:30.6,1,,,130,5,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0,0,0,,0,0,,,,,,1728929008.513713,1728928948.3424575,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,,0,0,0,0,0,0,1,dvuvzni1,,,,,0
6,2gtgp1yr,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:30.6,1,,,68,6,,0,1,1,0,8,20,40,,0,1,60,1,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1728929008.5910895,1728928948.330397,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,,0,0,0,0,0,0,1,dvuvzni1,,,,,0
7,bjeajf0d,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:30.7,1,,,159,7,,0,1,1,0,8,20,40,,0,1,65,3,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1728929008.5619595,1728928948.3890738,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,,0,0,0,0,0,0,1,dvuvzni1,,,,,0
8,1jwu69ep,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:30.9,1,,,142,8,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0,0,0,,0,0,,,,,,1728929008.5791242,1728928948.3973184,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,,0,0,0,0,0,0,1,dvuvzni1,,,,,0
9,7747igao,,0,156,156,Gift_Exchange_Baseline,Experiment_End,25:30.9,1,,,32,9,,0,1,1,0,8,20,40,,0,1,65,2,-1,0,-185,0,,,0,0,0,0,,0,1,1,,,,,1728929008.654943,1728928948.446915,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,,0,0,0,0,0,0,1,dvuvzni1,,,,,0
10,kumt8kgm,,0,156,156,Gift_Exchange_Baseline,Experiment_End,29:53.9,1,,,27,10,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0,0,0,,0,0,,,,,,1728929008.6653917,1728928948.4781814,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,,0,0,0,0,0,0,1,dvuvzni1,,,,,0
