participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.IRB,player.type,player.Q1,player.Q2,player.Q3,player.Q4,player.money_after_wage,player.firms_offer_accepted,player.worker_has_accepted_offer,player.wage_paid,player.transaction_number,player.wage,player.firms_worker_id,player.bid_number,player.number_of_offers_in_round,player.previous_wage,player.previous_bid_number,player.worker_selected_effort,player.worker_effort_level,player.firm_effort_level,player.effort_cost,player.ECU_payoff,player.ECU_payoff_total,player.accepted_highest_offer,player.bid_placement_of_accepted_offer,player.time_offered,player.time_bought,player.time_to_bought,player.time_to_effort,player.effort_start_time,player.auction_start_time,player.Instructions_Page_Number,player.wrong_string,player.previous_answers,player.worker_has_selected_effort,player.USD_payoff,player.USD_payoff_with_showup,player.First_Name,player.Last_Name,player.has_given_info,player.round_1_payoff,player.round_2_payoff,player.round_3_payoff,player.round_4_payoff,player.round_5_payoff,player.round_6_payoff,player.round_7_payoff,player.round_8_payoff,player.round_9_payoff,player.round_10_payoff,player.round_11_payoff,player.round_12_payoff,group.id_in_subsession,group.bid_number,group.transaction_number,group.highest_bid,group.wage_temp,group.bid_2,group.bid_3,group.bid_4,group.bid_5,group.bid_6,group.group_round_number,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,q1n6klyy,,0,169,169,Gift_Exchange_Baseline,Experiment_End,37:29.4,1,,,224,1,Worker,0,1,0,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0.1,0,0,0,0,0,,,,,,,1731611112.6464865,1,,,0,0,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,,0,0,0,0,0,0,1,v9j5cp4k,,,,,0
2,iopjb3ez,,0,169,169,Gift_Exchange_Baseline,Experiment_End,37:29.4,1,,,157,2,Firm,8,1,0,0,8,20,40,,1,0,0,2,50,7,3,1,,-185,0,0.1,0.1,0,8,8,0,,28.678433179855347,43.502458572387695,14.824025392532349,,,1731611112.7237043,1,,,0,0.32,7.32,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,,0,0,0,0,0,0,1,v9j5cp4k,,,,,0
3,hx81vmoa,,0,169,169,Gift_Exchange_Baseline,Experiment_End,37:29.7,1,,,226,3,,7,1,0,0,8,20,40,,1,0,0,3,55,9,5,2,,1,0,0.1,0.1,0,7,7,0,,51.84832787513733,55.34847116470337,3.50014329,,,1731611112.8098934,1,,,0,0.28,7.28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,,0,0,0,0,0,0,1,v9j5cp4k,,,,,0
4,gj3bn32n,,0,169,169,Gift_Exchange_Baseline,Experiment_End,37:29.7,1,,,309,4,,7,1,0,0,8,20,40,,1,0,0,1,55,8,4,2,,2,0,0.1,0.1,0,7,7,0,,34.44739031791687,39.62397527694702,5.176584959030151,,,1731611112.8565736,1,,,0,0.28,7.28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,,0,0,0,0,0,0,1,v9j5cp4k,,,,,0
5,j1q4i4nu,,0,169,169,Gift_Exchange_Baseline,Experiment_End,37:29.7,1,,,46,5,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0.1,0,0,0,0,0,,,,,,1731611086.5843844,1731611112.8705719,1,,,0,0,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,,0,0,0,0,0,0,1,v9j5cp4k,,,,,0
6,dfblueky,,0,169,169,Gift_Exchange_Baseline,Experiment_End,37:29.8,1,,,64,6,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0.1,0,0,0,0,0,,,,,,1731611086.5843844,1731611112.8841686,1,,,0,0,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,,0,0,0,0,0,0,1,v9j5cp4k,,,,,0
7,tlf0mjmo,,0,169,169,Gift_Exchange_Baseline,Experiment_End,37:29.8,1,,,99,7,,24,1,1,0,8,20,40,,0,1,50,2,-1,0,-185,0,,,0,0.1,0,0,24,24,1,1,,,,,1731611086.5843844,1731611112.971004,1,,,0,0.96,7.96,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,,0,0,0,0,0,0,1,v9j5cp4k,,,,,0
8,bzyb63bk,,0,169,169,Gift_Exchange_Baseline,Experiment_End,37:29.8,1,,,80,8,,29,1,1,0,8,20,40,,0,1,55,1,-1,0,-185,0,,,0,0.1,0,0,29,29,1,1,,,,,1731611086.5843844,1731611112.9890509,1,,,0,1.16,8.16,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,,0,0,0,0,0,0,1,v9j5cp4k,,,,,0
9,woujufbp,,0,169,169,Gift_Exchange_Baseline,Experiment_End,37:29.8,1,,,115,9,,29,1,1,0,8,20,40,,0,1,55,3,-1,0,-185,0,,,0,0.1,0,0,29,29,1,1,,,,,1731611086.5843844,1731611113.050424,1,,,0,1.16,8.16,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,,0,0,0,0,0,0,1,v9j5cp4k,,,,,0
10,j76kvnoi,,0,169,169,Gift_Exchange_Baseline,Experiment_End,37:30.2,1,,,30,10,,0,1,1,0,8,20,40,,0,0,0,0,-1,0,-185,0,,,0,0.1,0,0,0,0,0,,,,,,1731611086.5843844,1731611113.037156,1,,,0,0,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,,0,0,0,0,0,0,1,v9j5cp4k,,,,,0
