"1","Laxed (Siren Beat)","Laxed (Siren Beat)","Jawsh 685","2020-04-24","USSM12002399","104","150.50","61","7","1","43","9","201","37","9","147",\N,"15","10",\N,"5","59","1",\N,\N,\N,"3","0"
"2","MILLION DOLLAR BABY","Million Dollar Baby - Single","Tommy Richman","2024-04-26","QM24S2402528","1","725.40","390","30","196","92","84","1","5","651","5","150","210","40","684","62","17","114","18","22","4","2","0"
"3","(It Goes Like) Nanana - Edit","(It Goes Like) Nanana [Edit]","Peggy Gou","2023-06-15","GBBKS2300080","105","150.40","460","163","127","77","8","98","530","65","1","56",\N,"195",\N,"102","3","111","1","1","9","9","0"
"4","Not Like Us","Not Like Us","Kendrick Lamar","2024-05-04","USUG12400910","2","545.90","323","28","174","92","116","3","674","35","208","156","188","40","3","67","10","111","7","28","6","1","1"
"5","About Damn Time","About Damn Time","Lizzo","2022-04-14","USAT22202139","172","115.60","847","104","47","66","106","1","3","1","15","22","215","1","2","143","1","4",\N,\N,\N,"5","1"
"6","i like the way you kiss me","I like the way you kiss me","Artemas","2024-03-19","QZJ842400387","3","538.40","601","54","211","92","122","2","3","275","3","373","190","74","536","136","36","172","5","5","7","5","0"
"7","Training Season","Training Season","Dua Lipa","2024-02-15","GBAHT2301078","106","148.90","251","16","92","76","66","961","102","34","431","2","162","180","57","127","33","116","10","3","776","2","0"
"8","Flowers","Flowers - Single","Miley Cyrus","2023-01-12","USSM12209777","4","444.90","2","269","136","85","1","10","7","1","14","3","394","1","2","264","24","210","190","203",\N,"11","0"
"9","Type Shit","WE DON'T TRUST YOU","Future","2024-03-22","USSM12402033","107","148.10","205","28","84","84","39","672",\N,\N,\N,"232","99","3","45","41","2","47","5","4","7","900","1"
"10","Closer","Closer","The Chainsmokers","2016-07-29","USQX91601347","173","114.60","2","285","129","80","4","22","1","100","514","467","385","316","467","284","838","78","819","739",\N,"16","0"
"11","FLOWER","ME","JISOO","2023-03-31","KRA402300002","174","114.30","440","26","15","70","525","10","3","550","6","68","33","11","92","6","26","35","1","3",\N,"1","0"
